FIELD,index,SPLUS_F378,SPLUS_F395,SPLUS_F410,SPLUS_F430,SPLUS_F515,SPLUS_F660,SPLUS_F861,SPLUS_G,SPLUS_I,SPLUS_R,SPLUS_U,SPLUS_Z
"SPLUS-s02s13",60,20.151,20.088,21.087,21.189,21.485,21.119,21.658,23.527,23.414,23.591,20.906,22.816
"SPLUS-s02s15",61,20.107,20.082,21.046,21.139,21.46,21.115,21.672,23.5,23.406,23.586,20.817,22.844
"SPLUS-s02s16",62,20.129,20.069,21.08,21.155,21.478,21.124,21.66,23.519,23.405,23.59,20.863,22.824
"SPLUS-s02s19",63,20.108,20.055,21.069,21.149,21.481,21.129,21.67,23.522,23.405,23.592,20.862,22.836
"SPLUS-s02s20",64,20.05,19.973,20.991,21.054,21.399,21.095,21.645,23.444,23.38,23.555,20.817,22.802
"SPLUS-s02s21",65,20.016,19.984,20.98,21.094,21.433,21.096,21.649,23.474,23.385,23.559,20.746,22.82
"SPLUS-s02s22",66,20.103,20.047,21.071,21.131,21.467,21.117,21.66,23.504,23.397,23.593,20.891,22.824
"SPLUS-s02s23",67,20.045,19.989,21.015,21.1,21.443,21.102,21.655,23.471,23.388,23.569,20.814,22.828
"SPLUS-s02s24",68,20.085,20.016,21.007,21.072,21.398,21.094,21.653,23.432,23.406,23.557,20.851,22.824
"SPLUS-s02s25",69,20.135,20.063,21.074,21.172,21.489,21.126,21.656,23.527,23.398,23.59,20.906,22.828
"SPLUS-s02s26",70,20.089,20.005,21.021,21.112,21.462,21.122,21.662,23.501,23.392,23.58,20.87,22.822
"SPLUS-s03s01",71,20.086,20.013,21.048,21.139,21.481,21.131,21.664,23.526,23.397,23.591,20.846,22.825
"SPLUS-s03s03",72,20.111,20.021,21.048,21.131,21.473,21.128,21.672,23.515,23.407,23.597,20.897,22.829
"SPLUS-s03s04",73,20.085,20.051,21.025,21.106,21.426,21.092,21.65,23.463,23.389,23.566,20.823,22.82
"SPLUS-s03s05",74,20.032,20.01,20.99,21.056,21.381,21.078,21.638,23.417,23.38,23.53,20.78,22.803
"SPLUS-n01s01",75,20.119,20.057,21.137,21.272,21.549,21.08,21.621,23.583,23.342,23.561,20.885,22.755
"SPLUS-n01s18",76,20.011,19.969,21.032,21.134,21.443,21.098,21.654,23.488,23.363,23.556,20.714,22.769
"SPLUS-n01s19",77,20.021,19.983,21.066,21.169,21.489,21.114,21.655,23.529,23.359,23.575,20.783,22.775
"SPLUS-n01s20",78,20.107,20.033,21.083,21.188,21.508,21.107,21.641,23.541,23.371,23.586,20.827,22.792
"SPLUS-n01s21",79,20.051,19.976,21.034,21.137,21.475,21.084,21.639,23.505,23.361,23.563,20.822,22.783
"SPLUS-n01s22",80,19.946,19.887,20.935,21.036,21.409,21.032,21.611,23.431,23.317,23.508,20.716,22.701
"SPLUS-n01s23",81,20.086,20.013,21.073,21.192,21.502,21.1,21.638,23.54,23.364,23.576,20.865,22.778
"SPLUS-n01s24",82,20.081,19.989,21.051,21.156,21.458,21.088,21.635,23.505,23.348,23.56,20.85,22.752
"SPLUS-n01s25",83,20.078,19.989,21.066,21.16,21.471,21.088,21.637,23.514,23.358,23.565,20.857,22.758
"SPLUS-n01s26",84,20.081,19.996,21.065,21.162,21.482,21.094,21.643,23.532,23.368,23.572,20.848,22.778
"SPLUS-n01s27",85,20.006,19.936,20.931,21.06,21.376,21.072,21.637,23.43,23.355,23.544,20.74,22.785
"SPLUS-n01s28",86,20.071,19.99,21.029,21.127,21.424,21.06,21.608,23.474,23.334,23.538,20.811,22.751
"SPLUS-n01s37",87,20.128,20.018,21.087,21.171,21.516,21.141,21.679,23.551,23.417,23.614,20.877,22.853
"SPLUS-n01s38",88,20.105,20.006,21.058,21.157,21.495,21.133,21.682,23.529,23.413,23.605,20.882,22.863
"SPLUS-n02s18",89,20.065,19.983,21.046,21.149,21.471,21.115,21.657,23.505,23.38,23.576,20.771,22.797
"SPLUS-n02s19",90,20.084,20.023,21.051,21.167,21.478,21.115,21.659,23.526,23.375,23.583,20.817,22.785
"SPLUS-n02s20",91,20.1,20.046,21.094,21.211,21.493,21.102,21.663,23.527,23.369,23.575,20.843,22.783
"SPLUS-n02s21",92,20.052,20.004,21.055,21.162,21.476,21.107,21.638,23.523,23.351,23.571,20.8,22.748
"SPLUS-n02s22",93,20.073,19.997,21.056,21.151,21.45,21.094,21.645,23.503,23.361,23.571,20.819,22.777
"SPLUS-n02s23",94,20.115,20.021,21.056,21.142,21.47,21.087,21.636,23.51,23.342,23.557,20.84,22.74
"SPLUS-n02s24",95,19.977,19.888,20.92,20.995,21.304,21.048,21.62,23.355,23.323,23.489,20.703,22.736
"SPLUS-n02s25",96,20.123,20.042,21.081,21.194,21.496,21.099,21.643,23.53,23.37,23.573,20.885,22.785
"SPLUS-n02s26",97,20.065,19.979,21.033,21.133,21.449,21.091,21.637,23.495,23.353,23.559,20.844,22.762
"SPLUS-n02s27",98,20.069,19.995,21.061,21.135,21.455,21.077,21.621,23.492,23.348,23.549,20.857,22.774
"SPLUS-n02s28",99,20.11,20.043,21.096,21.195,21.499,21.118,21.665,23.54,23.381,23.583,20.895,22.788
"SPLUS-n02s37",100,20.126,20.001,21.065,21.165,21.495,21.13,21.677,23.53,23.409,23.605,20.89,22.856
"SPLUS-n02s38",101,20.121,20.017,21.094,21.202,21.521,21.149,21.699,23.557,23.418,23.621,20.896,22.852
"SPLUS-n02s44",102,20.043,19.936,20.982,21.059,21.428,21.089,21.647,23.452,23.373,23.569,20.803,22.783
"SPLUS-n02n01",103,20.043,20.007,21.061,21.175,21.492,21.109,21.65,23.539,23.371,23.579,20.805,22.776
"SPLUS-n02n18",104,20.049,19.999,21.053,21.148,21.473,21.113,21.645,23.524,23.373,23.579,20.792,22.78
"SPLUS-n02n19",105,19.905,19.845,20.874,20.952,21.275,21.024,21.609,23.324,23.308,23.464,20.627,22.711
"SPLUS-n02n20",106,20.101,20.046,21.092,21.185,21.497,21.114,21.649,23.541,23.377,23.593,20.868,22.805
"SPLUS-n02n21",107,19.877,19.758,20.782,20.868,21.224,20.979,21.598,23.252,23.295,23.425,20.659,22.703
"SPLUS-n02n22",108,20.078,19.979,21.044,21.126,21.452,21.082,21.633,23.493,23.358,23.557,20.851,22.769
"SPLUS-n02n23",109,20.039,19.955,20.998,21.1,21.431,21.059,21.607,23.462,23.322,23.534,20.796,22.722
"SPLUS-n02n24",110,19.954,19.887,20.912,21.002,21.305,21.033,21.606,23.352,23.318,23.489,20.669,22.722
"SPLUS-n02n25",111,20.022,19.951,21.001,21.115,21.452,21.091,21.631,23.486,23.362,23.551,20.789,22.778
"SPLUS-n02n26",112,19.998,19.904,20.981,21.076,21.425,21.07,21.637,23.462,23.346,23.544,20.754,22.763
"SPLUS-n02n27",113,20.055,19.943,20.996,21.092,21.421,21.072,21.635,23.46,23.343,23.536,20.807,22.745
"SPLUS-n02n28",114,20.057,19.958,21.014,21.119,21.451,21.091,21.644,23.491,23.368,23.56,20.8,22.783
"SPLUS-n02n44",115,20.094,19.996,21.056,21.153,21.499,21.11,21.667,23.523,23.39,23.588,20.881,22.812
"SPLUS-n03s18",116,20.059,19.998,21.07,21.176,21.497,21.118,21.662,23.537,23.38,23.586,20.775,22.778
"SPLUS-n03s19",117,20.04,19.973,21.013,21.12,21.43,21.094,21.645,23.483,23.378,23.573,20.734,22.823
"SPLUS-n03s20",118,20.011,19.912,20.994,21.065,21.368,21.089,21.645,23.444,23.366,23.543,20.711,22.788
"SPLUS-n03s21",119,20.107,20.047,21.078,21.175,21.479,21.079,21.613,23.504,23.342,23.55,20.859,22.764
"SPLUS-n03s22",120,20.074,19.981,21.049,21.152,21.466,21.091,21.642,23.508,23.361,23.562,20.806,22.766
